,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Volume,Adj Close
1,2,3,4,2015-12-24,109.0,109.0,107.949997,108.029999,13596700,107.446965
2,3,4,5,2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,108.023837
3,4,5,6,2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,106.651287
4,5,6,7,2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,106.750746
5,6,7,8,2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,105.457759
6,7,8,9,2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,108.391842
